-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::softmax         0.18%       2.057ms         0.66%       7.530ms     209.160us       0.000us         0.00%     193.920us       5.387us           0 b           0 b       4.93 Mb           0 b            36  
                                          aten::dropout         0.13%       1.535ms         0.81%       9.182ms      76.520us       0.000us         0.00%     616.480us       5.137us           0 b           0 b     143.04 Mb           0 b           120  
                                          aten::permute         0.02%     252.381us         0.03%     297.451us       4.131us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72  
                                       aten::layer_norm         0.14%       1.642ms         0.74%       8.478ms     132.469us       0.000us         0.00%     808.960us      12.640us           0 b           0 b      49.34 Mb           0 b            64  
                                             aten::relu         0.01%     146.912us         0.13%       1.507ms      62.776us       0.000us         0.00%     117.600us       4.900us           0 b           0 b      63.50 Mb           0 b            24  
                                               aten::mm         0.19%       2.181ms         3.70%      42.242ms     148.739us       0.000us         0.00%       9.229ms      32.497us           0 b           0 b     569.63 Mb           0 b           284  
                                          aten::flatten         0.00%      53.324us         0.00%      53.324us       0.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           284  
                                   aten::_reshape_alias         0.01%     170.811us         0.01%     170.811us       1.779us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
                                 aten::split_with_sizes         0.01%     135.594us         0.01%     155.532us       6.480us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24  
                               aten::cross_entropy_loss         0.00%      38.880us         0.21%       2.400ms       1.200ms       0.000us         0.00%     111.520us      55.760us           0 b           0 b       2.50 Mb      -2.50 Mb             2  
                                      aten::log_softmax         0.00%      11.166us         0.02%     267.069us     133.535us       0.000us         0.00%      36.320us      18.160us           0 b           0 b       2.50 Mb           0 b             2  
                                        aten::ones_like         0.00%       8.069us         0.03%     345.403us     172.702us       0.000us         0.00%       7.360us       3.680us           0 b           0 b       1.00 Kb           0 b             2  
      autograd::engine::evaluate_function: DivBackward1         0.00%      35.979us         0.04%     505.886us     252.943us       0.000us         0.00%      11.200us       5.600us           0 b           0 b       1.00 Kb           0 b             2  
                                           DivBackward1         0.00%      14.047us         0.04%     469.907us     234.954us       0.000us         0.00%      11.200us       5.600us           0 b           0 b       1.00 Kb           0 b             2  
      autograd::engine::evaluate_function: NegBackward0         0.00%      19.462us         0.02%     261.580us     130.790us       0.000us         0.00%      10.720us       5.360us           0 b           0 b           0 b      -1.00 Kb             2  
                                           NegBackward0         0.00%       7.844us         0.02%     242.118us     121.059us       0.000us         0.00%      10.720us       5.360us           0 b           0 b       1.00 Kb           0 b             2  
      autograd::engine::evaluate_function: SumBackward0         0.00%      16.725us         0.00%      47.943us      23.971us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                           SumBackward0         0.00%      11.351us         0.00%      31.218us      15.609us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
      autograd::engine::evaluate_function: MulBackward0         0.00%      24.513us         0.02%     279.870us     139.935us       0.000us         0.00%      18.880us       9.440us           0 b           0 b       2.50 Mb      -1.00 Kb             2  
                                           MulBackward0         0.00%      12.786us         0.02%     255.357us     127.679us       0.000us         0.00%      18.880us       9.440us           0 b           0 b       2.50 Mb           0 b             2  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.00%       9.535us         0.03%     302.432us     151.216us       0.000us         0.00%      21.600us      10.800us           0 b           0 b      -2.50 Mb      -5.00 Mb             2  
                                    LogSoftmaxBackward0         0.00%      16.103us         0.03%     292.897us     146.449us       0.000us         0.00%      21.600us      10.800us           0 b           0 b       2.50 Mb           0 b             2  
autograd::engine::evaluate_function: NativeLayerNorm...         0.06%     700.847us         0.83%       9.503ms     148.492us       0.000us         0.00%       1.153ms      18.017us           0 b           0 b     -50.09 Mb     -99.46 Mb            64  
                               NativeLayerNormBackward0         0.03%     344.132us         0.77%       8.803ms     137.541us       0.000us         0.00%       1.153ms      18.017us           0 b           0 b      49.38 Mb           0 b            64  
autograd::engine::evaluate_function: torch::autograd...         0.85%       9.693ms         6.04%      68.864ms     187.131us       0.000us         0.00%       1.130ms       3.071us           0 b           0 b           0 b           0 b           368  
                        torch::autograd::AccumulateGrad         0.05%     533.615us         0.11%       1.214ms       3.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                                           aten::detach         0.02%     256.317us         0.06%     680.754us       1.850us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                                                 detach         0.04%     424.437us         0.04%     424.437us       1.153us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                   torch::distributed::reducer::mul_out         1.02%      11.664ms         2.55%      29.042ms      78.920us       0.000us         0.00%       1.130ms       3.071us           0 b           0 b           0 b           0 b           368  
      autograd::engine::evaluate_function: AddBackward0         0.03%     331.051us         0.20%       2.225ms      26.492us       0.000us         0.00%     836.320us       9.956us           0 b           0 b      96.00 Kb           0 b            84  
                                           AddBackward0         0.01%      71.023us         0.01%      71.023us       0.846us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            84  
autograd::engine::evaluate_function: NativeDropoutBa...         0.04%     435.409us         0.61%       6.902ms      57.521us       0.000us         0.00%     471.680us       3.931us           0 b           0 b      16.26 Mb     -99.17 Mb           120  
